L1,L2,F1,F2,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
19.700,-19.700,132.808,0.100,-24.030,51.757,13.630,-23.838,51.642,13.255,-20.111,49.354,13.442,-19.822,49.074,13.842
19.800,-19.800,132.808,0.100,-24.030,51.757,13.630,-23.838,51.642,13.255,-20.111,49.354,13.442,-19.822,49.074,13.842
19.900,-19.900,134.486,0.100,-24.004,51.321,13.623,-23.809,51.210,13.248,-20.020,49.010,13.440,-19.725,48.738,13.840
20.000,-20.000,134.762,0.100,-24.029,51.016,13.619,-23.832,50.907,13.244,-20.018,48.768,13.438,-19.719,48.499,13.839
20.100,-20.100,135.206,0.100,-24.031,50.733,13.614,-23.832,50.628,13.240,-19.981,48.541,13.435,-19.678,48.278,13.836
20.200,-20.200,135.206,0.100,-24.031,50.733,13.614,-23.832,50.628,13.240,-19.981,48.541,13.435,-19.678,48.278,13.836
20.300,-20.300,137.000,0.100,-23.984,50.322,13.606,-23.782,50.221,13.231,-19.884,48.227,13.432,-19.575,47.969,13.834
20.400,-20.400,137.254,0.100,-23.994,50.024,13.603,-23.791,49.926,13.229,-19.864,47.989,13.432,-19.551,47.735,13.834
20.500,-20.500,137.254,0.100,-23.994,50.024,13.603,-23.791,49.926,13.229,-19.864,47.989,13.432,-19.551,47.735,13.834
20.600,-20.600,138.954,0.100,-23.944,49.600,13.595,-23.738,49.508,13.221,-19.761,47.665,13.428,-19.443,47.419,13.830
20.700,-20.700,139.208,0.100,-23.951,49.300,13.591,-23.743,49.211,13.217,-19.744,47.429,13.428,-19.422,47.187,13.830
20.800,-20.800,139.208,0.100,-23.951,49.300,13.591,-23.743,49.211,13.217,-19.744,47.429,13.428,-19.422,47.187,13.830
20.900,-20.900,140.863,0.100,-23.889,48.878,13.583,-23.679,48.793,13.210,-19.629,47.107,13.424,-19.301,46.873,13.827
21.000,-21.000,141.136,0.100,-23.888,48.581,13.578,-23.677,48.500,13.205,-19.612,46.878,13.423,-19.280,46.647,13.826
21.100,-21.100,141.550,0.100,-23.866,48.306,13.573,-23.653,48.228,13.200,-19.555,46.662,13.419,-19.221,46.438,13.822
21.200,-21.200,141.550,0.100,-23.866,48.306,13.573,-23.653,48.228,13.200,-19.555,46.662,13.419,-19.221,46.438,13.822
21.300,-21.300,143.359,0.100,-23.788,47.914,13.564,-23.573,47.840,13.191,-19.443,46.374,13.416,-19.103,46.155,13.820
21.400,-21.400,143.592,0.100,-23.773,47.624,13.561,-23.557,47.554,13.188,-19.404,46.147,13.416,-19.061,45.934,13.820
21.500,-21.500,143.592,0.100,-23.773,47.624,13.561,-23.557,47.554,13.188,-19.404,46.147,13.416,-19.061,45.934,13.820
21.600,-21.600,145.311,0.100,-23.690,47.222,13.551,-23.472,47.157,13.179,-19.285,45.851,13.411,-18.937,45.645,13.816
21.700,-21.700,145.542,0.100,-23.672,46.932,13.548,-23.453,46.870,13.175,-19.248,45.627,13.412,-18.897,45.427,13.816
21.800,-21.800,145.542,0.100,-23.672,46.932,13.548,-23.453,46.870,13.175,-19.248,45.627,13.412,-18.897,45.427,13.816
21.800,-21.800,147.215,0.100,-23.578,46.531,13.539,-23.357,46.475,13.166,-19.117,45.333,13.407,-18.762,45.141,13.812
21.800,-21.800,146.239,0.100,-23.613,46.378,13.536,-23.391,46.323,13.163,-19.157,45.206,13.405,-18.800,45.016,13.811
21.800,-21.800,146.239,0.100,-23.613,46.378,13.536,-23.391,46.323,13.163,-19.157,45.206,13.405,-18.800,45.016,13.811
21.800,-21.800,145.730,0.100,-23.613,46.288,13.530,-23.391,46.234,13.157,-19.144,45.132,13.398,-18.787,44.945,13.803
21.800,-21.800,145.534,0.100,-23.611,46.246,13.524,-23.389,46.193,13.151,-19.150,45.101,13.395,-18.792,44.913,13.800
